instance_type,cores,direction,threads,message_size,throughput,unit
16,2025_03_14T13_02_24Z,forward,8,256,2.43,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,512,4.47,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,1K,7.66,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,2K,10.8,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,4K,12.9,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,8K,28.0,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,16K,34.3,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,32K,37.9,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,64K,49.8,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,128K,45.9,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,256K,43.8,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,512K,49.8,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,1M,49.8,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,64,497.0,Mbits/sec
16,2025_03_14T13_05_28Z,forward,1,128,993.0,Mbits/sec
16,2025_03_14T13_05_28Z,forward,1,256,1.82,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,512,3.66,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,1K,4.95,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,2K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,4K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,8K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,16K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,32K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,64K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,128K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,256K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,512K,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,1,1M,4.96,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,64,559.0,Mbits/sec
16,2025_03_14T13_05_28Z,forward,4,128,1.15,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,256,2.19,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,512,4.19,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,1K,7.21,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,2K,10.5,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,4K,16.0,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,8K,16.9,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,16K,19.8,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,32K,19.8,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,64K,19.9,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,128K,19.8,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,256K,19.8,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,512K,14.9,Gbits/sec
16,2025_03_14T13_05_28Z,forward,4,1M,19.8,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,64,618.0,Mbits/sec
16,2025_03_14T13_05_28Z,forward,8,128,1.23,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,256,2.25,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,512,4.37,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,1K,7.63,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,2K,10.5,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,4K,15.1,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,8K,16.6,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,16K,25.8,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,32K,39.5,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,64K,39.7,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,128K,39.7,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,256K,39.6,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,512K,39.1,Gbits/sec
16,2025_03_14T13_05_28Z,forward,8,1M,39.5,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,64,501.0,Mbits/sec
16,2025_03_14T13_05_50Z,forward,1,128,994.0,Mbits/sec
16,2025_03_14T13_05_50Z,forward,1,256,1.95,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,512,3.61,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,1K,7.0,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,2K,9.51,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,4K,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,8K,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,16K,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,32K,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,64K,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,128K,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,256K,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,512K,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,1,1M,9.52,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,64,532.0,Mbits/sec
16,2025_03_14T13_05_50Z,forward,4,128,1.12,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,256,2.22,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,512,4.85,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,1K,6.51,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,2K,11.0,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,4K,20.6,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,8K,28.3,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,16K,38.1,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,32K,36.9,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,64K,37.9,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,128K,37.4,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,256K,38.1,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,512K,38.1,Gbits/sec
16,2025_03_14T13_05_50Z,forward,4,1M,28.6,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,64,552.0,Mbits/sec
16,2025_03_14T13_05_50Z,forward,8,128,1.11,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,256,2.33,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,512,4.21,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,1K,8.33,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,2K,11.0,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,4K,15.6,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,8K,18.9,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,16K,29.6,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,32K,40.4,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,64K,42.4,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,128K,49.8,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,256K,46.8,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,512K,47.8,Gbits/sec
16,2025_03_14T13_05_50Z,forward,8,1M,49.7,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,64,496.0,Mbits/sec
16,2025_03_14T13_10_03Z,forward,1,128,986.0,Mbits/sec
16,2025_03_14T13_10_03Z,forward,1,256,1.8,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,512,3.68,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,1K,6.11,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,2K,9.51,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,4K,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,8K,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,16K,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,32K,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,64K,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,128K,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,256K,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,512K,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,1,1M,9.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,64,641.0,Mbits/sec
16,2025_03_14T13_10_03Z,forward,4,128,1.2,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,256,2.53,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,512,4.07,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,1K,7.15,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,2K,13.1,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,4K,19.7,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,8K,28.5,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,16K,37.5,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,32K,38.1,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,64K,38.1,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,128K,38.1,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,256K,38.1,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,512K,38.0,Gbits/sec
16,2025_03_14T13_10_03Z,forward,4,1M,38.1,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,64,580.0,Mbits/sec
16,2025_03_14T13_10_03Z,forward,8,128,1.06,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,256,1.89,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,512,3.65,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,1K,8.52,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,2K,10.4,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,4K,16.5,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,8K,27.9,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,16K,34.0,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,32K,42.4,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,64K,42.8,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,128K,42.3,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,256K,49.8,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,512K,49.8,Gbits/sec
16,2025_03_14T13_10_03Z,forward,8,1M,49.8,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,64,485.0,Mbits/sec
16,2025_03_14T13_13_05Z,forward,1,128,987.0,Mbits/sec
16,2025_03_14T13_13_05Z,forward,1,256,1.94,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,512,3.36,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,1K,4.95,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,2K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,4K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,8K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,16K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,32K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,64K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,128K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,256K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,512K,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,1,1M,4.96,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,64,588.0,Mbits/sec
16,2025_03_14T13_13_05Z,forward,4,128,989.0,Mbits/sec
16,2025_03_14T13_13_05Z,forward,4,256,2.22,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,512,4.84,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,1K,7.45,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,2K,13.3,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,4K,16.4,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,8K,19.8,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,16K,19.8,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,32K,19.8,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,64K,14.9,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,128K,19.7,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,256K,19.9,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,512K,19.8,Gbits/sec
16,2025_03_14T13_13_05Z,forward,4,1M,19.8,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,64,571.0,Mbits/sec
16,2025_03_14T13_13_05Z,forward,8,128,1.19,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,256,2.46,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,512,4.68,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,1K,7.92,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,2K,11.8,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,4K,17.7,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,8K,18.7,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,16K,37.9,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,32K,39.5,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,64K,39.7,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,128K,39.6,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,256K,39.6,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,512K,39.6,Gbits/sec
16,2025_03_14T13_13_05Z,forward,8,1M,39.7,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,64,469.0,Mbits/sec
16,2025_03_14T13_17_41Z,forward,1,128,994.0,Mbits/sec
16,2025_03_14T13_17_41Z,forward,1,256,1.95,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,512,3.51,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,1K,6.96,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,2K,8.03,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,4K,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,8K,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,16K,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,32K,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,64K,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,128K,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,256K,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,512K,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,1,1M,9.52,Gbits/sec
16,2025_03_14T13_17_41Z,forward,4,64,578.0,Mbits/sec
16,2025_03_14T13_17_41Z,forward,4,128,1.15,Gbits/sec
16,2025_03_14T13_17_41Z,forward,4,256,2.31,Gbits/sec
16,2025_03_14T13_17_41Z,forward,4,512,4.79,Gbits/sec
